Customer ID,Recency,Frequency,Monetary,KMeans_Cluster,DBSCAN_Cluster,Business_Label
12347,2,8,4921.53,2,0,Champions
12348,75,5,2019.4,1,0,Loyal Customers
12349,19,4,4428.69,2,0,Champions
12350,310,1,334.4,0,0,Churned
12351,375,1,300.93,0,0,Churned
12352,36,10,2849.84,2,0,Champions
12353,204,2,406.76,1,0,Loyal Customers
12354,232,1,1079.4,1,0,Loyal Customers
12355,214,2,947.61,1,0,Loyal Customers
12356,23,6,6371.73,2,0,Champions
12357,33,3,18287.66,2,0,Champions
12358,2,5,3887.07,2,0,Champions
12359,58,10,8873.39,2,0,Champions
12360,52,8,4252.89,2,0,Champions
12361,287,4,511.25,0,0,Churned
12362,3,11,5356.23,2,0,Champions
12363,110,2,552.0,1,0,Loyal Customers
12364,8,4,1313.1,1,0,Loyal Customers
12365,291,2,641.38,1,0,Loyal Customers
12366,634,1,500.24,0,0,Churned
12367,4,1,168.9,1,0,Loyal Customers
12368,628,1,917.7,0,0,Churned
12369,413,3,1791.15,0,0,Churned
12370,51,7,4316.56,2,0,Champions
12371,45,5,4067.38,2,0,Champions
12372,72,3,1298.04,1,0,Loyal Customers
12373,311,3,1127.65,1,0,Loyal Customers
12374,25,4,2989.2200000000003,2,0,Champions
12375,11,2,457.5,1,0,Loyal Customers
12376,390,2,503.15,0,0,Churned
12377,315,4,3426.32,2,0,Champions
12378,130,2,5416.32,2,0,Champions
12379,82,4,1620.22,1,0,Loyal Customers
12380,22,11,9676.3,2,0,Champions
12381,5,5,1845.31,1,0,Loyal Customers
12383,185,5,1850.56,1,0,Loyal Customers
12384,29,2,585.27,1,0,Loyal Customers
12385,379,1,1938.4,0,0,Churned
12386,338,2,401.9,0,0,Churned
12387,415,1,143.94,0,0,Churned
12388,16,8,3901.11,2,0,Champions
12389,403,3,1433.33,0,0,Churned
12390,80,1,549.84,1,0,Loyal Customers
12391,22,6,2724.84,2,0,Champions
12392,591,1,234.75000000000003,0,0,Churned
12393,72,6,2399.4500000000003,2,0,Champions
12394,64,2,1272.48,1,0,Loyal Customers
12395,19,15,4721.17,2,0,Champions
12396,674,1,931.43,0,0,Churned
12397,36,2,2409.9,1,0,Loyal Customers
12398,46,1,1635.66,1,0,Loyal Customers
12399,119,7,1962.3,1,0,Loyal Customers
12400,414,1,205.25,0,0,Churned
12401,303,1,84.3,0,0,Churned
12402,323,6,1256.9,0,0,Churned
12403,50,2,1019.36,1,0,Loyal Customers
12404,682,1,63.24,0,0,Churned
12405,149,1,1710.39,1,0,Loyal Customers
12406,22,5,6390.36,2,0,Champions
12407,50,5,1708.12,1,0,Loyal Customers
12408,33,8,4340.77,2,0,Champions
12409,79,7,23419.29,2,0,Champions
12410,309,3,1013.71,1,0,Loyal Customers
12411,410,1,346.9,0,0,Churned
12412,75,6,2596.93,2,0,Champions
12413,67,4,999.45,1,0,Loyal Customers
12414,217,6,952.41,1,0,Loyal Customers
12416,657,1,202.56,0,0,Churned
12417,3,20,6797.41,2,0,Champions
12418,113,4,2021.2,1,0,Loyal Customers
12419,386,2,503.01,0,0,Churned
12420,64,1,600.39,1,0,Loyal Customers
12421,16,6,1098.6,1,0,Loyal Customers
12422,96,17,5231.8,2,0,Champions
12423,1,10,2622.39,2,0,Champions
12424,163,4,3340.03,2,0,Champions
12425,78,2,1741.41,1,0,Loyal Customers
12426,195,2,1345.21,1,0,Loyal Customers
12427,22,3,825.8,1,0,Loyal Customers
12428,26,9,7956.46,2,0,Champions
12429,9,8,6204.41,2,0,Champions
12430,43,1,256.4,1,0,Loyal Customers
12431,36,27,10432.22,2,0,Champions
12432,43,5,5059.32,2,0,Champions
12433,1,10,16794.14,2,0,Champions
12434,85,3,1103.43,1,0,Loyal Customers
12435,80,6,13925.93,2,0,Champions
12436,100,1,509.01,1,0,Loyal Customers
12437,2,39,12683.4,2,0,Champions
12438,14,2,2906.85,2,0,Champions
12439,683,2,1142.88,0,0,Churned
12440,462,2,859.2,0,0,Churned
12441,367,1,173.55,0,0,Churned
12442,3,1,172.06,1,0,Loyal Customers
12443,732,1,485.31,0,0,Churned
12444,21,5,5005.46,2,0,Champions
12445,22,2,434.98,1,0,Loyal Customers
12446,58,1,1002.31,1,0,Loyal Customers
12447,243,1,476.49,1,0,Loyal Customers
12448,44,1,449.45,1,0,Loyal Customers
12449,22,6,4835.89,2,0,Champions
12450,156,5,688.2,1,0,Loyal Customers
12451,11,8,12669.88,2,0,Champions
12452,17,2,430.57,1,0,Loyal Customers
12453,134,1,707.09,1,0,Loyal Customers
12454,56,5,16679.78,2,0,Champions
12455,73,10,5879.95,2,0,Champions
12456,44,3,3181.04,2,0,Champions
12457,66,8,2995.91,2,0,Champions
12458,71,4,1777.49,1,0,Loyal Customers
12459,605,1,454.36,0,0,Churned
12460,456,1,326.65,0,0,Churned
12461,94,2,826.88,1,0,Loyal Customers
12462,19,2,1189.59,1,0,Loyal Customers
12463,53,4,1344.78,1,0,Loyal Customers
12464,10,8,1212.05,1,0,Loyal Customers
12465,17,2,742.1899999999999,1,0,Loyal Customers
12466,682,1,56.73,0,0,Churned
12467,423,1,132.8,0,0,Churned
12468,188,5,3670.74,2,0,Champions
12469,523,2,3070.54,0,0,Churned
12470,690,1,211.95,0,0,Churned
12471,2,79,39918.19,2,1,Champions
12472,32,19,16249.29,2,0,Champions
12473,29,5,3928.05,2,0,Champions
12474,17,31,12372.75,2,0,Champions
12475,54,2,1149.64,1,0,Loyal Customers
12476,16,23,14083.91,2,0,Champions
12477,23,9,20276.37,2,0,Champions
12478,4,1,680.99,1,0,Loyal Customers
12479,11,1,527.2,1,0,Loyal Customers
12480,28,7,5464.85,2,0,Champions
12481,23,15,12185.51,2,0,Champions
12483,17,19,5097.18,2,0,Champions
12484,33,12,6354.1,2,0,Champions
12485,529,1,708.1,0,0,Churned
12486,432,1,1037.28,0,0,Churned
12487,731,1,285.29999999999995,0,0,Churned
12488,10,3,1298.66,1,0,Loyal Customers
12489,336,1,334.93,0,0,Churned
12490,5,21,9823.64,2,0,Champions
12491,39,1,460.4,1,0,Loyal Customers
12492,63,3,715.21,1,0,Loyal Customers
12493,166,2,433.74,1,0,Loyal Customers
12494,16,9,1815.27,2,0,Champions
12495,641,1,357.4,0,0,Churned
12496,620,2,45.34,0,0,Churned
12497,82,3,6248.5,2,0,Champions
12498,21,3,403.7000000000001,1,0,Loyal Customers
12499,560,1,393.72,0,0,Churned
12500,23,19,5955.21,2,0,Champions
12501,337,1,2169.39,0,0,Churned
12502,96,5,3723.87,2,0,Champions
12503,584,1,1126.0,0,0,Churned
12504,18,4,779.05,1,0,Loyal Customers
12505,409,1,955.2,0,0,Churned
12506,233,1,73.5,0,0,Churned
12507,134,4,1844.06,1,0,Loyal Customers
12508,26,2,397.88,1,0,Loyal Customers
12509,284,1,176.5,0,0,Churned
12510,143,9,5178.02,2,0,Champions
12511,429,1,3084.02,0,0,Churned
12512,66,2,132.18,1,0,Loyal Customers
12513,113,1,612.29,1,0,Loyal Customers
12514,267,2,1597.76,1,0,Loyal Customers
12515,353,1,383.7,0,0,Churned
12516,78,4,2648.62,2,0,Champions
12517,28,5,2481.6,2,0,Champions
