,Revenue,Quantity,log_Revenue,log_Quantity,day_of_week,month,quarter,is_weekend,is_month_end,lag_1,lag_7,lag_30,rolling_7_mean,rolling_30_mean,rolling_7_std
2009-12-31,0.0,0,0.0,0.0,3,12,4,False,True,0.0,0.0,43894.87,0.0,22783.467,0.0
2010-01-01,0.0,0,0.0,0.0,4,1,1,False,False,0.0,0.0,52762.06,0.0,21320.304666666667,0.0
2010-01-02,0.0,0,0.0,0.0,5,1,1,True,False,0.0,0.0,67413.62,0.0,19561.569333333333,0.0
2010-01-03,0.0,0,0.0,0.0,6,1,1,True,False,0.0,0.0,33913.81,0.0,17314.448666666667,0.0
2010-01-04,13415.09,10593,9.504210011888414,9.268043082104471,0,1,1,False,False,0.0,0.0,9803.05,0.0,16183.988333333335,0.0
2010-01-05,19051.19,11288,9.8549373345773,9.331584079261546,1,1,1,False,False,13415.09,0.0,24390.1,1916.4414285714286,16304.389666666666,5070.42742222133
2010-01-06,8731.26,7458,9.074779492764803,8.917176635955164,2,1,1,False,False,19051.19,0.0,33002.49,4638.04,16126.426,8086.3318304510885
2010-01-07,72989.38,40592,11.198082930624755,10.611350916931753,3,1,1,False,False,8731.26,0.0,44763.34,5885.362857142857,15317.385,7923.43475173637
2010-01-08,30292.7,12694,10.318695049086857,9.448963494138779,4,1,1,False,False,72989.38,0.0,30763.170000000002,16312.417142857144,16258.253,26089.37300510862
2010-01-09,0.0,0,0.0,0.0,5,1,1,True,False,30292.7,0.0,38598.21,20639.945714285717,16242.570666666667,25436.82741540164
2010-01-10,23157.33,13291,10.050109822005917,9.494917629474484,6,1,1,True,False,0.0,0.0,39204.17,20639.945714285717,14955.963666666668,25436.82741540164
2010-01-11,19684.49,9414,9.887637095117821,9.150059441091253,0,1,1,False,False,23157.33,13415.09,0.0,23948.135714285716,14421.068999999998,23755.39991519883
2010-01-12,38833.58,20782,10.567066365808785,9.941890623819074,1,1,1,False,False,19684.49,19051.19,21577.35,24843.76428571429,15077.218666666664,23407.736327185263
2010-01-13,12391.1,6541,9.424814451786546,8.785998208098329,2,1,1,False,False,38833.58,8731.26,51245.159999999996,27669.820000000003,15652.426333333333,23783.003771393134
2010-01-14,23721.64,11788,10.074185145400739,9.374922172292127,3,1,1,False,False,12391.1,72989.38,46836.63,28192.65428571429,14357.291000000001,23333.253632506163
2010-01-15,13499.55,8414,9.51048570433738,9.037771106624906,4,1,1,False,False,23721.64,30292.7,36927.3,21154.405714285716,13586.791333333333,12470.826515129693
2010-01-16,0.0,0,0.0,0.0,5,1,1,True,False,13499.55,0.0,29758.87,18755.38428571429,12805.866333333335,12027.26313196932
2010-01-17,17363.25,9910,9.762168773920079,9.201400530406708,6,1,1,True,False,0.0,23157.33,31562.72,18755.38428571429,11813.904000000002,12027.26313196932
2010-01-18,12078.84,8319,9.399293226367977,9.026417533815254,0,1,1,False,False,17363.25,19684.49,0.0,17927.658571428572,11340.588333333335,11872.203905657709
2010-01-19,21892.791,12939,9.993958359624603,9.468078568054892,1,1,1,False,False,12078.84,38833.58,11355.19,16841.137142857147,11743.216333333334,12031.582562676047
2010-01-20,13244.34,8208,9.491401071440874,9.012986392348266,2,1,1,False,False,21892.791,12391.1,15549.64,14421.02442857143,12094.4697,7846.516411691904
2010-01-21,27359.23,72900,10.216845778133901,11.196857635323791,3,1,1,False,False,13244.34,23721.64,10696.59,14542.915857142858,12017.626366666665,7816.29610930394
