Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,RFM_Total,Segment
12346,326,12,77556.46,2,5,5,255,12,Loyal Customers
12347,2,8,4921.53,5,4,5,545,14,Champions
12348,75,5,2019.4,3,4,4,344,11,Loyal Customers
12349,19,4,4428.69,5,3,5,535,13,Champions
12350,310,1,334.4,2,1,2,212,5,At Risk
12351,375,1,300.93,2,1,2,212,5,At Risk
12352,36,10,2849.84,4,5,4,454,13,Champions
12353,204,2,406.76,2,2,2,222,6,At Risk
12354,232,1,1079.4,2,1,3,213,6,At Risk
12355,214,2,947.61,2,2,3,223,7,Potential Loyalists
12356,23,6,6371.73,4,4,5,445,13,Champions
12357,33,3,18287.66,4,3,5,435,12,Loyal Customers
12358,2,5,3887.07,5,4,5,545,14,Champions
12359,58,10,8873.39,4,5,5,455,14,Champions
12360,52,8,4252.89,4,4,5,445,13,Champions
12361,287,4,511.25,2,3,2,232,7,Potential Loyalists
12362,3,11,5356.23,5,5,5,555,15,Champions
12363,110,2,552.0,3,2,2,322,7,Potential Loyalists
12364,8,4,1313.1,5,3,4,534,12,Loyal Customers
12365,291,2,641.38,2,2,3,223,7,Potential Loyalists
12366,634,1,500.24,1,1,2,112,4,Lost
12367,4,1,168.9,5,1,1,511,7,Potential Loyalists
12368,628,1,917.6999999999999,1,1,3,113,5,At Risk
12369,413,3,1791.15,1,3,4,134,8,Potential Loyalists
12370,51,7,4316.56,4,4,5,445,13,Champions
12371,45,5,4067.38,4,4,5,445,13,Champions
12372,72,3,1298.04,3,3,4,334,10,Loyal Customers
12373,311,3,1127.65,2,3,3,233,8,Potential Loyalists
12374,25,4,2989.2200000000003,4,3,5,435,12,Loyal Customers
12375,11,2,457.5,5,2,2,522,9,Potential Loyalists
12376,390,2,503.15,2,2,2,222,6,At Risk
12377,315,4,3426.32,2,3,5,235,10,Loyal Customers
12378,130,2,5416.32,3,2,5,325,10,Loyal Customers
12379,82,4,1620.22,3,3,4,334,10,Loyal Customers
12380,22,11,9676.300000000001,4,5,5,455,14,Champions
12381,5,5,1845.31,5,4,4,544,13,Champions
12383,185,5,1850.56,3,4,4,344,11,Loyal Customers
12384,29,2,585.27,4,2,2,422,8,Potential Loyalists
12385,379,1,1938.4,2,1,4,214,7,Potential Loyalists
12386,338,2,401.9,2,2,2,222,6,At Risk
12387,415,1,143.94,1,1,1,111,3,Lost
12388,16,8,3901.11,5,4,5,545,14,Champions
12389,403,3,1433.33,2,3,4,234,9,Potential Loyalists
12390,80,1,549.84,3,1,2,312,6,At Risk
12391,22,6,2724.84,4,4,4,444,12,Loyal Customers
12392,591,1,234.75000000000003,1,1,1,111,3,Lost
12393,72,6,2399.4500000000003,3,4,4,344,11,Loyal Customers
